compound,neg,neu,pos
0.9953,0.073,0.669,0.258
0.9964,0.051,0.629,0.32
0.9648,0.035,0.739,0.226
0.991,0.034,0.674,0.292
0.9812,0.17,0.514,0.316
0.994,0.066,0.651,0.283
0.9769,0.017,0.765,0.218
0.9899,0.029,0.696,0.275
0.993,0.008,0.73,0.261
0.9061,0.119,0.679,0.202
0.9854,0.014,0.718,0.268
0.9974,0.031,0.581,0.387
0.9882,0.046,0.677,0.276
0.9618,0.033,0.782,0.184
0.9794,0.072,0.632,0.296
0.9879,0.0,0.702,0.298
0.8805,0.072,0.767,0.161
0.9722,0.1,0.654,0.246
0.9949,0.06,0.547,0.393
0.9578,0.056,0.73,0.214
0.9753,0.027,0.745,0.229
0.8555,0.131,0.674,0.195
0.9931,0.015,0.59,0.395
0.9927,0.016,0.693,0.292
0.9887,0.0,0.718,0.282
0.986,0.015,0.738,0.247
0.9792,0.079,0.744,0.178
0.9744,0.065,0.688,0.247
0.9623,0.066,0.692,0.242
0.9936,0.023,0.677,0.301
0.8522,0.08,0.764,0.156
0.9917,0.077,0.642,0.281
0.9754,0.058,0.764,0.178
0.9921,0.027,0.628,0.345
0.9754,0.058,0.764,0.178
0.9822,0.055,0.713,0.232
0.9975,0.039,0.625,0.336
0.9568,0.046,0.738,0.216
0.4541,0.083,0.814,0.103
0.8402,0.026,0.898,0.076
0.9966,0.0,0.569,0.431
0.9663,0.075,0.74,0.185
0.9886,0.034,0.639,0.327
0.9678,0.033,0.758,0.209
0.9796,0.057,0.745,0.199
0.9611,0.11,0.641,0.249
0.9846,0.011,0.715,0.274
0.9872,0.06,0.634,0.306
0.9718,0.115,0.662,0.223
0.9958,0.054,0.528,0.418
0.9916,0.05,0.562,0.388
0.9835,0.016,0.719,0.264
0.9899,0.03,0.628,0.341
0.989,0.077,0.615,0.308
0.9911,0.064,0.643,0.293
0.989,0.029,0.707,0.264
0.9582,0.053,0.751,0.196
0.9935,0.0,0.671,0.329
0.987,0.061,0.62,0.319
0.9968,0.013,0.557,0.43
0.9878,0.0,0.793,0.207
0.975,0.0,0.755,0.245
0.9926,0.033,0.638,0.328
0.9823,0.07,0.669,0.261
0.9896,0.0,0.666,0.334
0.9906,0.07,0.605,0.325
0.994,0.034,0.597,0.369
0.9782,0.113,0.556,0.331
0.9942,0.022,0.632,0.346
0.9931,0.044,0.688,0.268
0.9848,0.049,0.654,0.297
0.9899,0.057,0.701,0.242
0.9868,0.014,0.7,0.285
0.995,0.029,0.661,0.31
0.992,0.024,0.655,0.321
0.7003,0.037,0.857,0.106
0.9944,0.042,0.574,0.384
0.9935,0.011,0.734,0.254
0.9938,0.016,0.648,0.337
0.9648,0.016,0.805,0.179
0.9801,0.015,0.743,0.242
0.9921,0.021,0.76,0.219
0.9942,0.042,0.694,0.263
0.9783,0.032,0.72,0.248
0.9959,0.019,0.564,0.417
0.9686,0.081,0.686,0.234
0.9893,0.044,0.622,0.334
0.9941,0.039,0.627,0.334
0.9889,0.052,0.579,0.369
0.9957,0.033,0.571,0.396
0.9908,0.043,0.594,0.363
0.9888,0.04,0.612,0.348
0.9914,0.042,0.63,0.328
0.9923,0.023,0.747,0.23
0.743,0.071,0.79,0.139
0.9792,0.043,0.776,0.181
0.9846,0.103,0.652,0.245
0.9799,0.055,0.748,0.197
0.8936,0.143,0.639,0.218
0.9958,0.056,0.613,0.33
0.9825,0.023,0.737,0.24
0.9648,0.043,0.749,0.208
0.8974,0.049,0.792,0.159
0.9939,0.013,0.674,0.313
0.9662,0.084,0.645,0.272
0.9316,0.045,0.784,0.171
0.9723,0.03,0.798,0.172
0.9337,0.018,0.853,0.13
0.9855,0.105,0.632,0.264
0.9325,0.131,0.652,0.217
0.9961,0.024,0.699,0.277
0.9964,0.052,0.671,0.277
0.9851,0.114,0.542,0.344
0.996,0.007,0.614,0.379
0.9874,0.047,0.686,0.266
0.9863,0.0,0.749,0.251
0.9765,0.151,0.559,0.291
0.9954,0.057,0.563,0.38
0.99,0.037,0.658,0.305
0.9781,0.044,0.784,0.172
0.9961,0.028,0.65,0.322
0.9975,0.031,0.623,0.346
0.9778,0.026,0.782,0.192
0.9929,0.032,0.638,0.331
0.9921,0.04,0.669,0.291
0.9907,0.016,0.696,0.288
0.9559,0.011,0.855,0.134
0.9938,0.027,0.763,0.211
0.9778,0.026,0.789,0.186
0.9673,0.08,0.657,0.263
0.9944,0.025,0.634,0.341
0.9919,0.046,0.59,0.364
0.9925,0.044,0.669,0.288
0.9862,0.111,0.63,0.259
0.995,0.011,0.649,0.34
0.9865,0.042,0.652,0.305
0.9806,0.063,0.727,0.211
0.9931,0.0,0.578,0.422
0.9961,0.082,0.599,0.319
0.9913,0.012,0.637,0.352
0.9821,0.098,0.605,0.297
0.9907,0.028,0.665,0.307
0.986,0.026,0.688,0.286
0.9711,0.072,0.675,0.253
0.979,0.057,0.663,0.28
0.9529,0.078,0.698,0.224
0.9927,0.019,0.607,0.374
0.9923,0.012,0.711,0.277
0.9633,0.027,0.801,0.172
0.886,0.099,0.75,0.151
0.9287,0.056,0.769,0.175
0.9936,0.048,0.595,0.357
0.9451,0.099,0.67,0.231
-0.4396,0.167,0.673,0.16
0.9922,0.047,0.594,0.359
0.9062,0.048,0.776,0.176
0.9935,0.079,0.537,0.384
0.9945,0.043,0.623,0.334
0.9853,0.063,0.718,0.219
0.984,0.079,0.601,0.32
0.9873,0.037,0.719,0.244
0.9962,0.03,0.687,0.282
0.9937,0.03,0.611,0.359
0.7912,0.076,0.789,0.135
0.9186,0.085,0.713,0.202
0.9945,0.06,0.626,0.313
0.9979,0.028,0.564,0.408
0.8534,0.089,0.769,0.142
0.9941,0.04,0.645,0.316
-0.2914,0.083,0.849,0.067
0.9895,0.058,0.629,0.314
0.9477,0.052,0.751,0.197
0.997,0.019,0.584,0.396
0.9812,0.078,0.642,0.28
0.9954,0.013,0.587,0.4
0.9856,0.037,0.64,0.323
0.9831,0.05,0.641,0.308
0.9878,0.082,0.626,0.292
0.923,0.055,0.758,0.187
0.969,0.103,0.654,0.243
0.9803,0.08,0.668,0.251
0.9962,0.028,0.612,0.36
0.9749,0.064,0.724,0.211
0.9806,0.059,0.743,0.199
0.9902,0.0,0.626,0.374
0.9382,0.094,0.709,0.197
0.9914,0.059,0.597,0.344
0.9897,0.015,0.696,0.289
0.9725,0.084,0.662,0.254
0.9849,0.026,0.795,0.179
0.9599,0.049,0.738,0.213
0.9887,0.086,0.561,0.354
0.989,0.0,0.685,0.315
0.9981,0.024,0.616,0.36
0.9953,0.023,0.697,0.28
0.9794,0.028,0.71,0.263
0.872,0.047,0.787,0.165
0.9885,0.028,0.677,0.295
0.9899,0.028,0.698,0.275
0.981,0.0,0.732,0.268
0.9898,0.039,0.663,0.298
0.9895,0.0,0.706,0.294
0.9725,0.145,0.545,0.31
0.9959,0.0,0.666,0.334
0.9978,0.0,0.489,0.511
0.8901,0.077,0.78,0.143
0.9882,0.037,0.67,0.292
0.9643,0.035,0.755,0.21
0.9343,0.093,0.716,0.191
0.9705,0.041,0.769,0.19
0.993,0.084,0.535,0.381
0.9965,0.033,0.551,0.416
0.9936,0.024,0.646,0.33
0.9808,0.069,0.603,0.328
0.972,0.065,0.654,0.281
0.9847,0.107,0.57,0.323
0.9901,0.04,0.7,0.26
0.926,0.016,0.84,0.143
0.9964,0.037,0.651,0.312
0.9897,0.051,0.714,0.236
0.9941,0.015,0.64,0.345
0.9823,0.016,0.703,0.28
0.9501,0.085,0.696,0.219
0.9909,0.011,0.657,0.332
0.9732,0.071,0.687,0.242
0.8779,0.088,0.716,0.196
0.9933,0.02,0.729,0.251
0.9825,0.05,0.7,0.249
0.9761,0.069,0.658,0.273
0.9896,0.044,0.576,0.38
0.9801,0.051,0.681,0.269
0.9761,0.105,0.692,0.203
0.9673,0.093,0.674,0.233
0.9896,0.047,0.635,0.318
0.9951,0.09,0.531,0.379
0.7964,0.084,0.761,0.155
0.9501,0.02,0.783,0.197
0.9917,0.031,0.64,0.329
0.9821,0.127,0.515,0.358
0.9654,0.042,0.723,0.235
0.9934,0.0,0.649,0.351
0.9493,0.091,0.727,0.182
0.9217,0.018,0.808,0.175
0.9741,0.096,0.639,0.265
0.9974,0.046,0.591,0.364
0.994,0.049,0.588,0.363
0.9878,0.057,0.66,0.284
0.9842,0.05,0.643,0.307
0.9743,0.083,0.694,0.223
0.9767,0.05,0.679,0.271
0.9837,0.071,0.668,0.26
0.9914,0.013,0.709,0.278
0.9904,0.082,0.62,0.298
0.9875,0.089,0.576,0.335
0.9757,0.065,0.656,0.278
0.9524,0.139,0.585,0.276
0.9949,0.007,0.663,0.329
0.9976,0.027,0.522,0.451
0.9801,0.03,0.705,0.265
0.9476,0.065,0.711,0.224
0.9927,0.029,0.621,0.35
0.9782,0.039,0.683,0.277
0.9924,0.009,0.717,0.274
0.9925,0.022,0.579,0.399
0.9918,0.01,0.635,0.355
0.9902,0.012,0.731,0.257
0.9757,0.079,0.688,0.233
0.9818,0.045,0.689,0.265
0.9932,0.076,0.564,0.36
0.9889,0.052,0.644,0.305
0.9896,0.051,0.634,0.316
0.9686,0.032,0.804,0.164
0.9927,0.039,0.628,0.333
0.9423,0.048,0.76,0.192
0.9948,0.0,0.72,0.28
0.9874,0.016,0.713,0.271
0.9896,0.071,0.546,0.383
0.9907,0.068,0.546,0.386
0.981,0.036,0.713,0.251
0.9829,0.0,0.804,0.196
0.9978,0.059,0.509,0.431
0.9912,0.053,0.601,0.347
0.9951,0.018,0.564,0.418
0.9957,0.034,0.634,0.333
0.9826,0.04,0.71,0.25
0.9884,0.0,0.746,0.254
0.9865,0.085,0.614,0.301
0.9964,0.037,0.624,0.339
0.9882,0.045,0.659,0.296
0.9855,0.098,0.557,0.345
0.9423,0.033,0.797,0.169
0.9841,0.062,0.668,0.27
0.9907,0.052,0.698,0.25
0.9969,0.066,0.6,0.334
0.9845,0.042,0.693,0.265
0.9696,0.048,0.748,0.204
0.9915,0.014,0.731,0.255
0.9877,0.037,0.679,0.284
0.9904,0.022,0.772,0.206
0.9959,0.064,0.573,0.364
0.9944,0.009,0.633,0.358
0.9628,0.083,0.67,0.246
0.9931,0.027,0.623,0.35
0.9638,0.031,0.774,0.194
0.9682,0.041,0.729,0.231
0.9916,0.0,0.645,0.355
0.9958,0.06,0.591,0.348
0.9883,0.044,0.658,0.298
0.9431,0.114,0.641,0.245
0.995,0.012,0.655,0.333
0.9853,0.009,0.744,0.246
0.9935,0.049,0.591,0.36
0.9938,0.0,0.564,0.436
0.994,0.016,0.659,0.324
0.9855,0.019,0.702,0.279
0.9937,0.023,0.607,0.37
0.9953,0.025,0.761,0.214
0.9878,0.038,0.629,0.333
0.9967,0.014,0.511,0.476
0.9779,0.047,0.745,0.208
0.986,0.096,0.592,0.312
0.9926,0.043,0.685,0.272
0.872,0.052,0.815,0.133
0.9783,0.03,0.739,0.231
0.9893,0.061,0.592,0.348
0.9779,0.015,0.771,0.214
0.9917,0.025,0.649,0.325
0.9903,0.085,0.543,0.372
0.9861,0.041,0.736,0.224
0.9861,0.015,0.749,0.236
0.9929,0.036,0.723,0.241
0.9854,0.042,0.658,0.301
0.9788,0.04,0.684,0.276
0.9854,0.046,0.709,0.245
0.979,0.023,0.763,0.214
0.9975,0.014,0.623,0.363
0.9913,0.104,0.605,0.291
0.9965,0.01,0.652,0.337
0.9694,0.071,0.699,0.23
0.9421,0.085,0.748,0.167
0.9845,0.069,0.608,0.323
0.9841,0.031,0.734,0.234
0.9666,0.112,0.643,0.245
0.9889,0.068,0.58,0.352
0.994,0.094,0.639,0.267
0.993,0.057,0.54,0.404
0.9648,0.074,0.694,0.232
0.9943,0.024,0.538,0.438
0.9907,0.029,0.734,0.238
0.9716,0.028,0.746,0.225
0.985,0.018,0.718,0.265
0.9975,0.0,0.529,0.471
0.9758,0.032,0.77,0.198
0.9506,0.057,0.795,0.148
0.9597,0.084,0.701,0.215
0.9915,0.016,0.661,0.323
0.9928,0.072,0.512,0.416
0.9974,0.0,0.538,0.462
0.9729,0.046,0.736,0.219
0.995,0.044,0.553,0.403
0.9648,0.072,0.761,0.167
0.9501,0.048,0.777,0.175
0.9867,0.041,0.649,0.31
0.9396,0.068,0.757,0.175
0.9869,0.0,0.712,0.288
0.9851,0.046,0.757,0.196
0.9933,0.028,0.718,0.254
0.984,0.015,0.705,0.28
0.9908,0.037,0.703,0.259
0.9978,0.007,0.601,0.392
0.93,0.113,0.683,0.204
0.9735,0.02,0.762,0.218
0.9729,0.113,0.566,0.321
0.9776,0.032,0.737,0.231
0.9843,0.0,0.761,0.239
0.9703,0.092,0.627,0.281
0.994,0.028,0.688,0.284
0.9874,0.038,0.658,0.304
0.9853,0.04,0.76,0.2
0.9919,0.0,0.738,0.262
0.9904,0.112,0.534,0.354
0.994,0.081,0.625,0.295
0.9806,0.093,0.69,0.217
0.9883,0.012,0.74,0.249
0.9382,0.079,0.734,0.187
0.9846,0.028,0.722,0.25
0.9966,0.05,0.563,0.387
0.9601,0.071,0.666,0.263
0.9793,0.07,0.657,0.272
0.743,0.096,0.746,0.158
0.9859,0.063,0.665,0.273
0.9952,0.1,0.614,0.286
0.995,0.041,0.568,0.391
0.9923,0.071,0.651,0.278
0.9906,0.0,0.667,0.333
0.9584,0.037,0.763,0.2
0.9923,0.054,0.592,0.353
0.9931,0.028,0.589,0.382
0.989,0.011,0.755,0.234
0.9765,0.077,0.713,0.21
0.9906,0.034,0.72,0.246
0.9826,0.059,0.66,0.281
-0.0516,0.164,0.686,0.15
0.9876,0.084,0.573,0.343
0.9867,0.055,0.608,0.337
0.9969,0.0,0.572,0.428
0.9622,0.13,0.633,0.237
0.9878,0.03,0.71,0.26
0.9978,0.026,0.595,0.379
0.9956,0.0,0.588,0.412
0.9956,0.048,0.693,0.259
0.9872,0.053,0.617,0.33
0.9899,0.066,0.635,0.298
0.9874,0.051,0.603,0.346
0.9977,0.046,0.584,0.37
0.9837,0.085,0.666,0.249
0.9819,0.02,0.72,0.26
0.9863,0.048,0.685,0.267
0.9001,0.151,0.63,0.219
0.9974,0.021,0.664,0.315
0.9873,0.081,0.582,0.337
0.9894,0.0,0.643,0.357
0.9908,0.036,0.59,0.375
0.9913,0.049,0.616,0.334
0.9274,0.068,0.783,0.149
0.97,0.143,0.59,0.268
0.979,0.049,0.675,0.276
0.991,0.016,0.626,0.358
0.975,0.058,0.677,0.265
0.9936,0.0,0.605,0.395
0.9595,0.04,0.728,0.231
0.9943,0.023,0.669,0.308
0.9953,0.031,0.629,0.34
0.986,0.036,0.662,0.302
0.9874,0.074,0.668,0.258
0.9784,0.036,0.718,0.245
0.9605,0.065,0.762,0.174
0.9988,0.024,0.536,0.439
0.9967,0.059,0.473,0.467
0.9823,0.045,0.709,0.246
0.9837,0.086,0.61,0.305
0.9912,0.038,0.589,0.373
0.9401,0.045,0.767,0.188
0.9716,0.034,0.729,0.237
0.9986,0.025,0.458,0.517
0.9976,0.02,0.603,0.377
0.9866,0.007,0.764,0.229
0.9949,0.017,0.547,0.436
0.9864,0.017,0.704,0.279
0.9938,0.006,0.732,0.262
0.9891,0.111,0.551,0.338
0.9931,0.06,0.652,0.288
0.9856,0.021,0.762,0.217
0.996,0.013,0.628,0.359
0.9833,0.037,0.682,0.282
0.9982,0.022,0.622,0.357
0.9915,0.033,0.625,0.342
0.987,0.054,0.625,0.322
0.9851,0.138,0.533,0.329
0.9806,0.092,0.625,0.283
0.9845,0.068,0.663,0.269
0.9783,0.015,0.77,0.215
0.962,0.047,0.786,0.167
0.9942,0.013,0.635,0.352
0.9873,0.096,0.651,0.253
0.9981,0.014,0.592,0.394
0.9864,0.04,0.607,0.353
0.9732,0.037,0.704,0.259
0.986,0.066,0.579,0.355
0.9923,0.064,0.539,0.397
0.9891,0.071,0.618,0.312
0.9903,0.047,0.626,0.327
0.9764,0.059,0.655,0.286
0.9841,0.027,0.771,0.202
0.995,0.034,0.539,0.427
0.9914,0.087,0.619,0.294
0.8943,0.038,0.827,0.135
0.9897,0.021,0.627,0.352
0.9886,0.049,0.703,0.248
0.9985,0.034,0.548,0.417
0.9948,0.032,0.584,0.384
0.9967,0.031,0.615,0.354
0.9522,0.102,0.684,0.214
0.9928,0.029,0.611,0.36
0.9178,0.08,0.712,0.209
0.9476,0.042,0.76,0.197
0.9906,0.047,0.621,0.332
0.9713,0.02,0.763,0.217
0.9866,0.095,0.627,0.279
0.9914,0.102,0.52,0.378
0.9926,0.027,0.709,0.264
0.9922,0.0,0.622,0.378
0.9965,0.04,0.565,0.396
0.9562,0.1,0.645,0.255
0.875,0.098,0.729,0.173
0.986,0.08,0.558,0.362
0.9856,0.068,0.689,0.242
0.9967,0.052,0.552,0.396
0.9907,0.07,0.638,0.291
0.9883,0.0,0.75,0.25
0.9948,0.016,0.67,0.314
0.9942,0.014,0.68,0.305
0.9812,0.035,0.714,0.251
0.988,0.061,0.581,0.358
0.995,0.035,0.557,0.408
0.9925,0.052,0.62,0.328
0.9896,0.089,0.548,0.363
0.9956,0.014,0.597,0.389
0.9951,0.023,0.717,0.261
0.886,0.073,0.788,0.139
0.9801,0.043,0.708,0.249
0.9936,0.008,0.684,0.308
0.93,0.041,0.807,0.152
0.9246,0.039,0.823,0.138
0.947,0.119,0.682,0.199
0.966,0.079,0.754,0.168
0.994,0.034,0.562,0.404
0.9618,0.055,0.732,0.213
0.9897,0.012,0.742,0.247
0.9887,0.019,0.676,0.305
0.9931,0.034,0.602,0.364
0.9929,0.027,0.691,0.282
0.9953,0.0,0.591,0.409
0.9872,0.033,0.655,0.312
0.9608,0.095,0.651,0.254
0.9901,0.049,0.642,0.309
0.996,0.033,0.565,0.402
0.9926,0.028,0.654,0.319
0.9888,0.09,0.598,0.312
0.9906,0.03,0.648,0.322
0.997,0.021,0.744,0.235
0.985,0.018,0.695,0.288
0.9583,0.023,0.771,0.205
0.96,0.116,0.606,0.278
0.983,0.067,0.735,0.198
0.9726,0.012,0.747,0.241
0.9804,0.075,0.737,0.188
0.9963,0.019,0.563,0.418
0.9509,0.027,0.818,0.156
0.9939,0.024,0.655,0.321
0.9895,0.07,0.669,0.261
0.9723,0.065,0.736,0.199
0.9975,0.019,0.688,0.294
0.9885,0.063,0.656,0.281
-0.1341,0.17,0.671,0.159
0.9584,0.089,0.681,0.23
0.9923,0.036,0.646,0.318
0.9883,0.043,0.642,0.315
0.9909,0.017,0.605,0.378
0.9961,0.013,0.582,0.405
-0.6486,0.154,0.734,0.113
0.9963,0.042,0.679,0.279
0.99,0.029,0.683,0.288
0.993,0.106,0.567,0.327
0.9861,0.076,0.627,0.297
0.7556,0.096,0.754,0.15
0.9819,0.051,0.685,0.264
0.9908,0.052,0.671,0.276
0.9967,0.043,0.539,0.418
0.9943,0.01,0.608,0.381
0.9819,0.085,0.679,0.236
0.9837,0.08,0.615,0.305
0.9887,0.07,0.56,0.37
0.9917,0.026,0.697,0.278
0.9912,0.059,0.621,0.32
0.9874,0.064,0.647,0.289
0.996,0.06,0.598,0.342
0.9819,0.021,0.715,0.265
0.8007,0.111,0.714,0.175
0.9584,0.033,0.801,0.166
0.9539,0.176,0.521,0.303
0.9975,0.017,0.583,0.401
0.9537,0.031,0.823,0.146
0.9726,0.013,0.768,0.219
0.9958,0.069,0.513,0.418
0.9965,0.065,0.506,0.43
0.9944,0.0,0.55,0.45
0.9948,0.03,0.687,0.283
0.9169,0.023,0.83,0.148
0.987,0.012,0.774,0.214
0.9966,0.04,0.677,0.283
0.9949,0.04,0.649,0.31
0.9655,0.044,0.702,0.255
0.9552,0.073,0.739,0.188
0.9732,0.151,0.548,0.301
0.9287,0.067,0.744,0.189
0.9968,0.026,0.61,0.365
0.5349,0.176,0.637,0.187
0.9871,0.013,0.76,0.227
-0.9283,0.161,0.729,0.11
0.9862,0.022,0.711,0.267
0.9761,0.089,0.667,0.244
0.9252,0.121,0.685,0.194
0.99,0.095,0.603,0.302
0.9716,0.036,0.819,0.144
0.9661,0.018,0.789,0.193
0.9348,0.011,0.844,0.144
0.9934,0.018,0.619,0.363
0.9771,0.066,0.694,0.24
0.998,0.0,0.578,0.422
0.9698,0.088,0.666,0.246
0.9528,0.157,0.586,0.257
0.9894,0.04,0.731,0.229
0.9839,0.05,0.727,0.224
0.9887,0.0,0.7,0.3
0.993,0.09,0.519,0.392
0.9901,0.016,0.672,0.312
0.9973,0.04,0.617,0.343
0.987,0.051,0.751,0.198
0.9905,0.021,0.689,0.29
0.9836,0.054,0.644,0.302
0.9442,0.024,0.797,0.179
0.9734,0.04,0.778,0.183
0.9955,0.029,0.605,0.367
0.9896,0.0,0.7,0.3
0.9625,0.056,0.751,0.193
0.956,0.06,0.757,0.184
0.9887,0.018,0.62,0.362
0.8243,0.0,0.904,0.096
0.9558,0.095,0.69,0.215
0.9694,0.017,0.787,0.196
0.9842,0.022,0.687,0.29
0.9792,0.039,0.697,0.264
0.9909,0.072,0.589,0.339
0.8807,0.05,0.796,0.154
0.9876,0.067,0.693,0.24
0.9821,0.035,0.669,0.296
0.9974,0.026,0.611,0.364
0.9917,0.076,0.659,0.265
0.9871,0.015,0.709,0.276
0.9881,0.022,0.73,0.248
0.9931,0.029,0.724,0.247
0.9954,0.0,0.738,0.262
0.8091,0.087,0.759,0.154
-0.0145,0.088,0.824,0.088
0.9648,0.075,0.663,0.262
0.9924,0.0,0.724,0.276
0.9921,0.007,0.722,0.271
0.9882,0.0,0.711,0.289
0.9967,0.052,0.652,0.296
0.9592,0.071,0.739,0.19
0.9552,0.096,0.687,0.217
0.9716,0.075,0.695,0.23
0.7783,0.081,0.777,0.142
0.9908,0.025,0.714,0.26
0.9974,0.049,0.535,0.416
0.9873,0.014,0.743,0.243
0.9871,0.016,0.68,0.305
0.9874,0.125,0.545,0.33
0.994,0.041,0.689,0.27
0.9921,0.047,0.625,0.329
0.9855,0.0,0.741,0.259
0.9791,0.076,0.723,0.201
0.9963,0.011,0.698,0.291
0.9948,0.022,0.68,0.298
0.9962,0.0,0.495,0.505
-0.9169,0.221,0.587,0.192
0.9968,0.029,0.678,0.293
0.9956,0.014,0.535,0.45
0.9705,0.057,0.71,0.233
0.9926,0.0,0.694,0.306
0.9809,0.037,0.669,0.294
0.9477,0.078,0.699,0.223
0.9969,0.026,0.641,0.334
0.9812,0.0,0.755,0.245
0.9893,0.055,0.601,0.344
0.9834,0.083,0.625,0.292
0.5612,0.111,0.747,0.142
0.9949,0.031,0.708,0.262
0.9936,0.041,0.664,0.295
0.9946,0.0,0.562,0.438
0.9867,0.054,0.726,0.22
0.969,0.031,0.792,0.176
0.9808,0.0,0.739,0.261
0.9925,0.0,0.743,0.257
0.9669,0.053,0.722,0.225
0.9943,0.018,0.608,0.374
0.9965,0.0,0.709,0.291
0.9921,0.0,0.641,0.359
0.9948,0.08,0.61,0.31
0.9853,0.065,0.661,0.274
0.9847,0.051,0.61,0.339
0.9927,0.019,0.656,0.324
0.9623,0.052,0.773,0.175
0.9908,0.039,0.687,0.274
0.9989,0.008,0.585,0.407
0.9931,0.013,0.793,0.194
0.979,0.047,0.723,0.23
0.9936,0.005,0.772,0.222
0.9349,0.061,0.756,0.182
0.9887,0.099,0.62,0.281
0.9894,0.019,0.642,0.339
0.9895,0.04,0.781,0.178
0.9922,0.02,0.639,0.341
0.9628,0.031,0.799,0.17
0.9962,0.035,0.711,0.254
0.9938,0.025,0.699,0.276
0.9972,0.01,0.636,0.354
0.9912,0.065,0.707,0.228
-0.3182,0.104,0.812,0.084
0.9961,0.095,0.559,0.346
0.9169,0.104,0.708,0.189
0.9964,0.006,0.748,0.246
0.9912,0.026,0.705,0.269
0.8316,0.092,0.754,0.155
0.9347,0.093,0.714,0.193
0.9842,0.103,0.652,0.244
0.9904,0.04,0.672,0.289
0.9349,0.0,0.828,0.172
0.9858,0.135,0.624,0.24
0.9957,0.008,0.65,0.342
0.9874,0.021,0.708,0.271
0.9719,0.081,0.702,0.217
0.9851,0.0,0.678,0.322
0.9716,0.047,0.723,0.23
-0.9889,0.362,0.465,0.173
0.992,0.031,0.624,0.345
0.9849,0.0,0.726,0.274
0.9883,0.065,0.636,0.298
0.9919,0.016,0.593,0.391
0.9843,0.069,0.66,0.272
0.9762,0.026,0.794,0.18
0.9932,0.047,0.607,0.345
0.9949,0.032,0.63,0.338
0.2415,0.134,0.69,0.176
0.9852,0.071,0.747,0.182
0.9821,0.051,0.666,0.284
0.9697,0.093,0.616,0.291
0.9875,0.035,0.728,0.237
0.9957,0.019,0.645,0.335
0.9823,0.0,0.748,0.252
0.8126,0.109,0.694,0.197
0.991,0.046,0.618,0.336
0.9947,0.015,0.614,0.372
0.9913,0.019,0.616,0.365
0.9912,0.081,0.564,0.355
0.9881,0.02,0.741,0.239
0.9747,0.035,0.708,0.257
0.81,0.12,0.728,0.151
0.9953,0.053,0.579,0.368
0.9866,0.051,0.653,0.296
0.8625,0.131,0.687,0.182
0.976,0.04,0.685,0.275
0.997,0.014,0.474,0.512
0.9953,0.022,0.7,0.278
0.9792,0.074,0.675,0.251
0.9714,0.086,0.691,0.223
0.9432,0.072,0.749,0.18
0.9908,0.044,0.726,0.23
0.9861,0.045,0.651,0.303
0.9949,0.011,0.674,0.315
0.9953,0.047,0.643,0.31
0.8053,0.041,0.872,0.087
0.9657,0.031,0.788,0.181
0.9939,0.039,0.621,0.34
0.9678,0.053,0.714,0.233
0.7761,0.081,0.787,0.132
-0.34,0.101,0.808,0.091
0.9814,0.028,0.776,0.196
0.994,0.068,0.691,0.242
0.9666,0.0,0.809,0.191
0.9967,0.039,0.535,0.426
0.9816,0.043,0.709,0.248
0.9832,0.049,0.665,0.287
0.9772,0.051,0.694,0.255
0.9971,0.024,0.609,0.367
0.9971,0.011,0.646,0.342
0.9792,0.071,0.734,0.194
0.9831,0.071,0.625,0.304
0.9844,0.024,0.779,0.197
0.9853,0.032,0.642,0.325
0.946,0.016,0.823,0.162
0.9723,0.07,0.747,0.183
0.9913,0.024,0.681,0.295
0.9761,0.015,0.794,0.191
0.9643,0.0,0.837,0.163
0.9816,0.047,0.645,0.309
0.9871,0.062,0.564,0.374
0.9922,0.028,0.763,0.209
0.9908,0.0,0.685,0.315
0.9904,0.047,0.686,0.267
0.9904,0.05,0.747,0.203
0.9945,0.028,0.728,0.245
0.9801,0.016,0.762,0.222
0.9788,0.011,0.813,0.176
0.9925,0.025,0.734,0.24
0.9935,0.043,0.666,0.29
0.996,0.0,0.593,0.407
0.9678,0.034,0.716,0.25
0.9961,0.051,0.557,0.392
0.9878,0.013,0.732,0.256
0.9941,0.0,0.717,0.283
0.9865,0.021,0.681,0.299
0.9833,0.054,0.715,0.23
0.995,0.016,0.589,0.395
0.986,0.025,0.717,0.259
0.9937,0.021,0.667,0.312
0.9803,0.0,0.776,0.224
0.9799,0.014,0.806,0.18
0.9834,0.053,0.718,0.228
0.984,0.032,0.679,0.288
0.9928,0.015,0.616,0.368
0.988,0.083,0.576,0.34
0.9536,0.022,0.817,0.16
0.9932,0.037,0.657,0.306
0.9964,0.029,0.655,0.316
0.9973,0.06,0.537,0.403
0.9933,0.0,0.608,0.392
0.9953,0.008,0.664,0.328
0.9698,0.043,0.775,0.182
0.9939,0.068,0.545,0.387
0.8963,0.118,0.708,0.174
0.9942,0.011,0.72,0.27
0.9861,0.041,0.7,0.258
0.9938,0.105,0.592,0.303
0.9866,0.0,0.715,0.285
0.9902,0.0,0.709,0.291
0.9965,0.014,0.56,0.427
0.9603,0.05,0.78,0.17
0.9517,0.037,0.747,0.216
0.9959,0.0,0.548,0.452
0.9246,0.076,0.739,0.185
0.9843,0.0,0.732,0.268
0.9776,0.041,0.732,0.226
0.9967,0.027,0.646,0.327
0.9693,0.09,0.623,0.286
0.9786,0.07,0.689,0.241
